,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:15:00.000Z,2020-06-24T06:45:00+05:30,o3,3.93,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:15:00.000Z,2020-06-24T06:45:00+05:30,so2,3.82,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:15:00.000Z,2020-06-24T06:45:00+05:30,pm10,27.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:15:00.000Z,2020-06-24T06:45:00+05:30,co,430.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:15:00.000Z,2020-06-24T06:45:00+05:30,pm25,2.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:15:00.000Z,2020-06-24T06:45:00+05:30,no2,15.56,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:00:00.000Z,2020-06-24T06:30:00+05:30,no2,14.26,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:00:00.000Z,2020-06-24T06:30:00+05:30,o3,4.26,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:00:00.000Z,2020-06-24T06:30:00+05:30,co,380.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:00:00.000Z,2020-06-24T06:30:00+05:30,pm10,27.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
10,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:00:00.000Z,2020-06-24T06:30:00+05:30,so2,3.83,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
11,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T01:00:00.000Z,2020-06-24T06:30:00+05:30,pm25,2.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
12,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,o3,3.92,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
13,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,so2,3.3,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
14,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,co,390.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
15,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,pm25,12.67,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
16,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,pm10,37.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
17,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,no2,12.78,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
18,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:00:00.000Z,2020-06-24T05:30:00+05:30,so2,3.51,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
19,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:00:00.000Z,2020-06-24T05:30:00+05:30,no2,12.26,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
20,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:00:00.000Z,2020-06-24T05:30:00+05:30,o3,4.01,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
21,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:00:00.000Z,2020-06-24T05:30:00+05:30,pm10,47.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
22,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:00:00.000Z,2020-06-24T05:30:00+05:30,co,380.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
23,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-24T00:00:00.000Z,2020-06-24T05:30:00+05:30,pm25,17.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
24,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-23T23:45:00.000Z,2020-06-24T05:15:00+05:30,pm25,17.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
25,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-23T23:45:00.000Z,2020-06-24T05:15:00+05:30,o3,4.47,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
26,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-23T23:45:00.000Z,2020-06-24T05:15:00+05:30,no2,13.51,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
27,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-23T23:45:00.000Z,2020-06-24T05:15:00+05:30,pm10,47.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
28,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-23T23:45:00.000Z,2020-06-24T05:15:00+05:30,co,420.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
29,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-23T23:45:00.000Z,2020-06-24T05:15:00+05:30,so2,3.66,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
