,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:45:00.000Z,2020-06-24T06:15:00+05:30,pm25,14.52,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:45:00.000Z,2020-06-24T06:15:00+05:30,co,1060.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:45:00.000Z,2020-06-24T06:15:00+05:30,o3,5.59,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:45:00.000Z,2020-06-24T06:15:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:45:00.000Z,2020-06-24T06:15:00+05:30,so2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:45:00.000Z,2020-06-24T06:15:00+05:30,pm10,96.73,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,co,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,so2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,pm25,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
10,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,o3,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
11,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-24T00:30:00.000Z,2020-06-24T06:00:00+05:30,pm10,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
12,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T22:45:00.000Z,2020-06-24T04:15:00+05:30,pm25,5.08,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
13,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T22:45:00.000Z,2020-06-24T04:15:00+05:30,o3,5.52,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
14,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T22:45:00.000Z,2020-06-24T04:15:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
15,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T22:45:00.000Z,2020-06-24T04:15:00+05:30,so2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
