,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,no2,16.26,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm10,27.66,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm25,34.23,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,co,650.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,o3,25.11,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm25,35.14,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,o3,24.39,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,no2,16.88,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm10,23.07,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,co,620.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
10,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,co,590.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
11,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,o3,25.75,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
12,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,pm25,34.69,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
13,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,no2,16.74,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
14,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,pm10,25.27,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
15,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,co,630.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
16,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,pm10,25.27,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
17,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,no2,17.37,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
18,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,pm25,13.86,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
19,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,o3,25.67,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
20,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,co,690.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
21,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm25,3.07,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
22,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm10,32.29,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
23,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,no2,17.68,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
24,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,o3,25.15,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
25,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,co,680.0,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
26,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,o3,25.74,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
27,"Aya Nagar, Delhi - IMD",Delhi,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,no2,16.71,µg/m³,28.4706914,77.10993640000001,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
