,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm10,36.83,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,so2,3.26,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm25,7.31,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,o3,0.82,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,co,740.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm25,7.31,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm10,39.73,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,so2,3.36,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
