,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,o3,39.4,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,so2,8.2,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm10,40.0,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,no2,11.58,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,co,340.0,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,o3,43.8,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,no2,10.55,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,so2,8.2,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm10,40.0,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,co,330.0,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
10,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,so2,8.5,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
11,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,no2,9.84,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
12,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,co,340.0,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
13,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,pm10,47.0,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
14,"Sirifort, Delhi - CPCB",Delhi,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,o3,44.8,µg/m³,28.5504249,77.2159377,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
