,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,no2,5.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,so2,6.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,o3,18.95,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm10,30.7,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:45:00.000Z,2020-06-23T05:15:00+05:30,pm25,10.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,so2,3.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,co,290.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm25,10.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,no2,5.7,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
10,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm10,30.7,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
11,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,o3,21.95,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
12,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,so2,4.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
13,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,no2,4.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
14,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,pm10,32.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
15,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,pm25,11.9,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
16,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,o3,14.77,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
