,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,co,500.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,no2,19.41,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm10,32.5,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,o3,1.87,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm25,8.58,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,so2,6.23,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,co,430.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,o3,3.91,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,pm25,8.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,so2,7.02,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
