Location,City,Date/Time,Parameter,Value,LAT,LON
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:45:00.000Z,pm10,56.7,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:45:00.000Z,o3,17.35,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:45:00.000Z,co,370,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:45:00.000Z,so2,22.58,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:45:00.000Z,no2,15.7,22.627875,88.3804
NSIT Dwarka,Delhi,2017-06-22T23:45:00.000Z,pm25,587.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:45:00.000Z,o3,3.9,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:45:00.000Z,co,650,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:45:00.000Z,so2,13.5,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:45:00.000Z,no2,90.1,28.591,77.05
IIT,Chennai,2017-06-22T23:30:00.000Z,so2,3.25,12.99251389,80.23744722
IIT,Chennai,2017-06-22T23:30:00.000Z,o3,13.04,12.99251389,80.23744722
IIT,Chennai,2017-06-22T23:30:00.000Z,pm25,24.93,12.99251389,80.23744722
IIT,Chennai,2017-06-22T23:30:00.000Z,co,240,12.99251389,80.23744722
IIT,Chennai,2017-06-22T23:30:00.000Z,no2,19.86,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T23:30:00.000Z,pm25,587.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:30:00.000Z,co,640,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:30:00.000Z,o3,4.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:30:00.000Z,no2,134,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T23:30:00.000Z,so2,13.3,28.591,77.05
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:15:00.000Z,pm10,67.9,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:15:00.000Z,o3,16.92,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:15:00.000Z,co,460,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:15:00.000Z,so2,20.65,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T23:15:00.000Z,no2,22.9,22.627875,88.3804
