,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
0,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,no2,3.27,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
1,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,so2,3.85,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
2,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,co,1010.0,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
3,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,pm25,6.35,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
4,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:30:00.000Z,2020-06-23T05:00:00+05:30,o3,0.0,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
5,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,o3,0.0,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
6,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,pm25,8.15,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
7,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,so2,3.92,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
8,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,no2,1.66,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
9,"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2020-06-22T23:00:00.000Z,2020-06-23T04:30:00+05:30,co,1250.0,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
